"product_id","product_name","category","brand","total_quantity_sold","total_revenue","avg_stock_qty","stockout_days","reorder_needed_days","total_restock_count","product_status"
"P005","Lays Classic Salted Chips","Snacks","Lays",646,12920.00,28.24,0,16,16,"Fast Moving"
"P001","Amul Milk 1L","Dairy","Amul",645,43860.00,28.78,0,16,16,"Fast Moving"
"P007","Maggi Noodles 70g","Packaged Food","Maggi",634,9510.00,27.01,0,14,14,"Fast Moving"
"P003","Britannia Bread 400g","Bakery","Britannia",618,24720.00,24.72,0,16,16,"Fast Moving"
"P004","Harvest Brown Bread 400g","Bakery","Harvest",609,33495.00,30.07,0,15,15,"Fast Moving"
"P011","Red Bull 250ml","Beverages","Red Bull",604,75500.00,29.86,0,15,15,"Fast Moving"
"P008","Yippee Noodles 70g","Packaged Food","Yippee",599,8985.00,32.56,0,14,14,"Fast Moving"
"P010","Pepsi 750ml","Beverages","Pepsi",592,23680.00,28.70,0,17,17,"Fast Moving"
"P006","Kurkure Masala Munch","Snacks","Kurkure",585,11700.00,29.09,0,14,14,"Fast Moving"
"P009","Coca Cola 750ml","Beverages","Coca Cola",579,23160.00,33.43,0,13,13,"Fast Moving"
"P002","Mother Dairy Curd 500g","Dairy","Mother Dairy",577,25965.00,26.51,0,15,15,"Fast Moving"
